episode,reward,win
312,24.339999999999915,0
313,32.239999999999974,0
314,5.970000000000001,0
315,51.500000000000206,0
316,97.70999999999952,0
317,5.9300000000000015,0
318,35.91000000000001,0
319,63.75000000000003,0
320,21.91999999999999,0
321,1.9300000000000015,0
322,73.99999999999997,0
323,78.96999999999979,0
324,121.14999999999898,0
325,70.83999999999993,0
326,64.19999999999997,0
327,26.369999999999926,0
328,20.259999999999927,0
329,93.42999999999978,0
330,22.639999999999986,0
331,22.509999999999962,0
332,89.81999999999994,0
333,49.000000000000064,0
334,14.70999999999998,0
335,5.900000000000002,0
336,95.89999999999957,0
337,49.540000000000035,0
338,11.839999999999996,0
339,40.36000000000002,0
340,16.56999999999998,0
341,47.370000000000054,0
342,89.29999999999978,0
343,48.35000000000001,0
344,56.100000000000065,0
345,89.03999999999945,0
346,5.610000000000008,0
347,4.880000000000003,0
348,65.6300000000001,0
349,73.48999999999988,0
350,28.26999999999994,0
351,55.330000000000034,0
352,47.48999999999999,0
353,9.940000000000001,0
354,30.57999999999997,0
355,7.880000000000003,0
356,61.6299999999998,0
357,9.870000000000001,0
358,3.860000000000001,0
359,4.970000000000001,0
360,14.919999999999998,0
361,0.0,0
362,71.8299999999998,0
363,29.22999999999997,0
364,3.580000000000007,0
365,16.709999999999983,0
366,2.8900000000000015,0
367,82.10999999999902,0
368,11.89,0
369,7.880000000000003,0
370,9.870000000000003,0
371,7.800000000000004,0
372,6.880000000000003,0
373,70.27999999999955,0
374,52.71000000000037,0
375,108.92999999999907,0
376,13.389999999999926,0
377,0.9200000000000008,0
378,86.63999999999965,0
379,94.74999999999972,0
380,89.73999999999977,0
381,35.65999999999998,0
382,103.4799999999998,0
383,115.90999999999936,0
384,61.000000000000014,0
385,1.8800000000000026,0
386,16.8,0
387,61.46999999999997,0
388,95.2699999999996,0
389,36.330000000000034,0
390,2.9200000000000017,0
391,19.379999999999956,0
392,108.52999999999966,0
393,77.97999999999938,0
394,35.69999999999999,0
395,7.850000000000003,0
396,75.79999999999995,0
397,4.9300000000000015,0
398,50.89000000000008,0
399,8.810000000000002,0
400,7.880000000000003,0
401,47.33000000000008,0
402,32.43,0
403,16.58999999999999,0
404,4.940000000000001,0
405,117.42999999999843,0
406,15.829999999999991,0
407,51.85000000000012,0
408,24.799999999999983,0
409,43.43000000000006,0
410,33.28999999999996,0
411,35.57000000000001,0
412,57.82000000000007,0
413,4.860000000000003,0
414,15.869999999999994,0
415,118.34999999999953,0
416,13.479999999999983,0
417,77.86999999999996,0
418,68.99,0
419,29.610000000000014,0
420,104.00999999999944,0
421,61.51000000000002,0
422,63.61999999999976,0
423,42.449999999999996,0
424,74.02999999999986,0
425,3.9299999999999997,0
426,9.930000000000001,0
427,29.859999999999992,0
428,41.33999999999996,0
429,36.47000000000001,0
430,0.9000000000000021,0
431,65.28000000000004,0
432,-2.059999999999999,0
433,93.1999999999996,0
434,41.38999999999996,0
435,133.8900000000003,0
436,48.08000000000007,0
437,16.85,0
438,67.31,0
439,28.569999999999958,0
440,127.50000000000117,0
441,69.39999999999971,0
442,34.71999999999998,0
443,20.839999999999993,0
444,22.67999999999998,0
445,0.8700000000000019,0
446,144.92999999999614,1
447,79.43999999999967,0
448,28.659999999999982,0
449,85.02999999999987,0
450,114.91999999999959,0
451,70.29999999999997,0
452,5.790000000000003,0
453,18.83999999999999,0
454,17.56999999999998,0
455,-1.089999999999999,0
456,37.30999999999996,0
457,42.42999999999999,0
458,56.49000000000002,0
459,3.770000000000003,0
460,38.360000000000035,0
461,0.9100000000000019,0
462,14.779999999999983,0
463,4.0,0
464,53.49000000000004,0
465,61.96000000000011,0
466,15.559999999999945,0
467,32.759999999999984,0
468,108.04999999999937,0
469,130.20000000000027,0
470,45.56,0
471,19.909999999999997,0
472,103.42999999999958,0
473,22.62999999999996,0
474,28.619999999999962,0
475,-1.0299999999999998,0
476,2.8800000000000017,0
477,41.349999999999966,0
478,53.32000000000008,0
479,22.829999999999984,0
480,1.9000000000000021,0
481,-1.0199999999999996,0
482,19.68999999999999,0
483,37.6,0
484,28.71999999999999,0
485,102.88999999999933,0
486,16.79999999999999,0
487,21.629999999999967,0
488,95.63999999999983,0
489,63.86000000000007,0
