# episode,reward,length,win
268,-41.8000,12,0
269,-75.3000,82,0
270,561.3000,38,1
271,-40.3000,15,0
272,-53.1000,7,0
273,-45.8000,29,0
274,-43.1000,20,0
275,-52.4000,7,0
276,-53.5000,8,0
277,-57.3000,24,0
278,-53.3000,11,0
279,-42.4000,12,0
280,-52.4000,7,0
281,-42.4000,25,0
282,-48.8000,33,0
283,-71.9000,70,0
284,-52.1000,9,0
285,-53.5000,13,0
286,-41.1000,13,0
287,567.5000,30,1
288,-53.4000,15,0
289,-54.0000,20,0
290,565.1500,37,1
291,-55.5000,24,0
292,-46.7000,31,0
293,-41.5000,21,0
294,569.7000,18,1
295,-54.8000,18,0
296,566.0500,31,1
297,-41.8000,11,0
298,-53.2000,8,0
299,-58.4000,36,0
300,-51.8000,9,0
301,-52.6000,20,0
302,-41.1000,22,0
303,-43.1000,36,0
304,-40.8000,18,0
305,-41.4000,16,0
306,-52.5000,12,0
307,-46.1000,39,0
308,-45.1000,28,0
309,570.3500,21,1
310,-42.8000,15,0
311,572.0500,13,1
312,-45.3000,22,0
313,569.0000,28,1
314,-61.1000,41,0
315,567.0500,29,1
316,569.2500,21,1
317,568.1000,24,1
318,569.4000,20,1
319,566.8500,31,1
320,-42.4000,20,0
321,-40.7000,9,0
322,-56.4000,22,0
323,-42.4000,17,0
324,570.4000,20,1
325,560.7000,56,1
326,571.3500,15,1
327,-42.2000,15,0
328,-43.3000,30,0
329,-49.2000,40,0
330,-57.9000,28,0
331,-42.8000,18,0
332,-41.0000,11,0
333,569.0000,22,1
334,-44.5000,33,0
335,-39.5000,14,0
336,-48.2000,37,0
337,561.2000,42,1
338,-43.1000,12,0
339,-41.0000,17,0
340,-40.1000,11,0
341,-48.4000,31,0
342,570.7500,17,1
343,-43.9000,23,0
344,570.3500,23,1
345,-58.3000,30,0
346,-41.8000,7,0
347,569.2500,21,1
348,568.8000,24,1
349,567.7500,27,1
350,566.0000,28,1
351,569.4000,20,1
352,569.4000,16,1
353,-52.2000,52,0
354,570.4000,18,1
355,565.4500,39,1
356,-52.5000,14,0
357,560.5500,55,1
358,-40.8000,8,0
359,-41.9000,17,0
360,-43.1000,19,0
361,569.8500,21,1
362,-43.1000,19,0
363,568.9000,24,1
364,-45.7000,32,0
365,565.8000,34,1
366,-50.6000,30,0
367,-41.4000,11,0
368,570.1500,19,1
369,-53.8000,12,0
370,569.2500,25,1
371,565.6000,32,1
372,-55.9000,19,0
373,-51.8000,6,0
374,-52.3000,6,0
375,561.8500,55,1
376,567.6000,24,1
377,-42.4000,7,0
378,571.1000,24,1
379,-44.4000,22,0
380,-43.5000,24,0
381,567.7000,26,1
382,-43.7000,11,0
383,-48.8000,41,0
384,571.1500,17,1
385,569.3500,25,1
386,-42.9000,23,0
387,-52.3000,6,0
388,-42.2000,23,0
389,-42.2000,23,0
390,569.4500,23,1
391,-42.1000,20,0
392,-40.7000,20,0
393,569.9000,18,1
394,567.3000,26,1
395,569.9000,24,1
396,-39.5000,12,0
397,571.6500,15,1
398,569.7000,20,1
399,-41.9000,11,0
400,567.7500,31,1
401,-44.4000,29,0
402,-41.4000,11,0
403,566.5000,26,1
404,-40.8000,7,0
405,570.8500,15,1
406,-40.6000,10,0
407,-40.6000,16,0
408,568.0000,28,1
409,-41.5000,10,0
410,-42.0000,27,0
411,563.0000,32,1
412,-41.6000,11,0
413,571.2000,18,1
414,572.0500,19,1
415,567.5500,19,1
416,-41.3000,10,0
417,571.7000,16,1
418,-40.4000,16,0
419,-42.2000,17,0
420,566.8500,29,1
421,-41.5000,10,0
422,-39.5000,9,0
423,-44.2000,25,0
424,568.9000,28,1
425,-42.7000,24,0
426,-41.2000,11,0
427,570.4000,18,1
428,-41.5000,16,0
429,-41.9000,21,0
430,570.4000,18,1
431,-39.4000,8,0
432,569.9500,19,1
433,-40.8000,10,0
434,-41.8000,7,0
435,567.5000,26,1
436,569.4000,20,1
437,571.4000,14,1
438,570.3500,21,1
439,-39.6000,13,0
440,-40.6000,16,0
441,-44.7000,26,0
442,-50.8000,7,0
443,570.7000,18,1
444,570.7500,23,1
445,569.8500,21,1
446,-42.7000,12,0
447,-42.7000,24,0
448,-40.4000,11,0
449,-43.7000,25,0
450,-41.5000,18,0
451,567.2000,32,1
452,571.7500,19,1
453,570.0000,18,1
454,559.5000,72,1
455,564.8500,25,1
456,-44.2000,23,0
457,570.8000,18,1
458,-45.6000,38,0
459,-42.4000,18,0
460,-41.6000,9,0
461,-43.5000,15,0
462,569.7000,18,1
463,-40.7000,11,0
464,569.9000,16,1
465,571.5500,13,1
466,569.8500,15,1
467,570.4000,16,1
468,-42.7000,12,0
469,-41.8000,15,0
470,-42.6000,18,0
471,566.1000,34,1
472,569.1000,22,1
473,569.4500,19,1
474,570.5500,19,1
475,570.4000,16,1
476,-41.5000,23,0
477,-41.7000,8,0
478,564.3000,34,1
479,-42.0000,20,0
480,-41.1000,11,0
481,-43.3000,20,0
482,564.0000,30,1
483,-42.8000,21,0
484,-40.1000,6,0
485,565.6000,38,1
486,567.9500,31,1
487,569.4000,20,1
488,569.5000,22,1
489,-45.6000,36,0
490,-40.8000,6,0
491,-42.4000,12,0
492,-43.0000,10,0
493,-40.3000,11,0
494,-41.0000,18,0
495,-39.9000,17,0
496,-48.4000,44,0
497,568.4000,24,1
498,-42.4000,12,0
499,568.7000,20,1
500,569.1000,22,1
