# episode,reward,length,win
267,-52.3000,69,0
268,-46.5000,33,0
269,-55.5000,22,0
270,-45.0000,30,0
271,-53.5000,67,0
272,-56.5000,29,0
273,-48.1000,38,0
274,-45.0000,29,0
275,-44.1000,28,0
276,-42.0000,19,0
277,-41.4000,25,0
278,-60.7000,48,0
279,-52.2000,11,0
280,-42.3000,15,0
281,-52.5000,48,0
282,-42.9000,19,0
283,-45.5000,31,0
284,-45.8000,29,0
285,-52.7000,15,0
286,-58.0000,60,0
287,-47.9000,48,0
288,-54.1000,12,0
289,-56.4000,23,0
290,-45.8000,36,0
291,-52.7000,7,0
292,-49.5000,42,0
293,564.0000,50,1
294,-53.5000,16,0
295,-54.1000,13,0
296,569.6500,23,1
297,-50.2000,48,0
298,-53.7000,89,0
299,-42.6000,20,0
300,-54.4000,16,0
301,-55.8000,29,0
302,-53.7000,13,0
303,566.1500,29,1
304,-49.0000,43,0
305,-45.4000,31,0
306,558.0000,64,1
307,-53.5000,11,0
308,-43.3000,23,0
309,568.1000,32,1
310,-46.8000,33,0
311,-48.4000,55,0
312,-51.8000,69,0
313,-45.3000,41,0
314,-61.4000,112,0
315,-54.9000,27,0
316,-40.7000,14,0
317,567.0000,28,1
318,-46.4000,35,0
319,560.3500,53,1
320,562.6000,54,1
321,-47.5000,37,0
322,-52.2000,11,0
323,-54.6000,17,0
324,-47.3000,33,0
325,-46.5000,28,0
326,-61.0000,64,0
327,-48.5000,42,0
328,543.2500,111,1
329,-54.8000,88,0
330,-44.9000,26,0
331,565.9000,34,1
332,-45.6000,38,0
333,-53.5000,59,0
334,-43.9000,27,0
335,-64.8000,137,0
336,-50.4000,53,0
337,556.6000,62,1
338,-51.9000,38,0
339,-42.9000,24,0
340,-43.5000,16,0
341,-39.5000,18,0
342,-42.9000,13,0
343,-53.4000,13,0
344,564.6500,37,1
345,-53.9000,11,0
346,-56.7000,36,0
347,-52.3000,67,0
348,-53.4000,11,0
349,-51.5000,5,0
350,-53.5000,13,0
351,568.0000,28,1
352,-54.7000,17,0
353,-52.0000,48,0
354,-53.4000,13,0
355,-47.1000,29,0
356,560.2000,58,1
357,-79.1000,165,0
358,-48.2000,37,0
359,-55.9000,24,0
360,-48.9000,46,0
361,-47.9000,28,0
362,-53.3000,8,0
363,564.9500,49,1
364,-51.6000,7,0
365,-43.2000,18,0
366,567.5000,34,1
367,-56.0000,23,0
368,564.1500,49,1
369,-47.8000,40,0
370,-55.7000,24,0
371,-61.2000,42,0
372,-52.5000,12,0
373,-43.0000,23,0
374,-54.2000,16,0
375,-59.8000,21,0
376,556.0000,84,1
377,563.7000,42,1
378,-52.3000,7,0
379,-42.3000,23,0
380,-46.1000,33,0
381,-52.4000,10,0
382,-56.3000,29,0
383,-51.3000,65,0
384,566.5500,47,1
385,-51.4000,41,0
386,561.8500,57,1
387,-45.6000,32,0
388,-56.5000,109,0
389,569.0000,24,1
390,-54.0000,18,0
391,-43.7000,16,0
392,566.2000,36,1
393,-53.7000,14,0
394,563.5000,50,1
395,-51.9000,8,0
396,-42.2000,14,0
397,-53.4000,15,0
398,-42.6000,10,0
399,-43.9000,34,0
400,-43.6000,18,0
401,-46.3000,43,0
402,-56.1000,22,0
403,-45.9000,26,0
404,-46.1000,36,0
405,-42.6000,22,0
406,-47.4000,27,0
407,-53.5000,11,0
408,-56.3000,98,0
409,-47.7000,32,0
410,-51.9000,6,0
411,-40.8000,10,0
412,-54.1000,26,0
413,-50.2000,48,0
414,557.0000,74,1
415,565.1500,37,1
416,570.0500,19,1
417,560.2000,56,1
418,-46.1000,29,0
419,-52.7000,7,0
420,565.3000,32,1
421,562.2500,43,1
422,-47.6000,57,0
423,-42.8000,25,0
424,563.0500,49,1
425,-49.1000,63,0
426,-41.9000,15,0
427,569.3500,21,1
428,-52.5000,10,0
429,568.8000,24,1
430,-54.1000,13,0
431,567.9000,24,1
432,572.8000,18,1
433,-43.8000,20,0
434,-46.8000,26,0
435,567.0500,31,1
436,566.6000,36,1
437,560.6500,47,1
438,561.4500,37,1
439,-53.0000,9,0
440,566.8500,23,1
441,-51.0000,5,0
442,568.5500,23,1
443,-48.3000,47,0
444,-44.9000,21,0
445,557.0500,61,1
446,563.7500,45,1
447,-52.9000,7,0
448,-45.5000,31,0
449,568.0000,34,1
450,-44.0000,20,0
451,567.0500,39,1
452,-53.5000,10,0
453,-52.5000,14,0
454,569.3500,21,1
455,-53.2000,13,0
456,570.3500,25,1
457,-52.1000,10,0
458,-51.8000,9,0
459,-41.3000,19,0
460,565.4500,33,1
461,-55.4000,14,0
462,569.6500,21,1
463,569.0500,23,1
464,568.8500,23,1
465,-43.4000,24,0
466,566.7000,28,1
467,570.7500,19,1
468,569.8000,24,1
469,-41.9000,14,0
470,-49.5000,66,0
471,562.1000,36,1
472,567.3500,21,1
473,-41.7000,8,0
474,569.8500,23,1
475,-42.6000,21,0
476,-40.7000,14,0
477,570.0000,26,1
478,-43.3000,19,0
479,568.6500,23,1
480,565.6500,39,1
481,-45.0000,24,0
482,-54.3000,12,0
483,-54.3000,21,0
484,-42.5000,30,0
485,-52.3000,6,0
486,-55.0000,14,0
487,-41.2000,12,0
488,563.5500,45,1
489,561.4000,50,1
490,570.0500,17,1
491,564.0000,36,1
492,571.6500,15,1
493,571.6500,17,1
494,570.6500,19,1
495,569.4500,23,1
496,569.0500,25,1
497,-53.4000,19,0
498,570.5000,18,1
499,-52.9000,9,0
500,-55.5000,33,0
501,567.4000,30,1
502,-51.8000,8,0
503,565.1000,30,1
504,-54.7000,25,0
505,568.7500,21,1
506,570.2500,17,1
507,-51.0000,5,0
508,562.0000,44,1
509,569.4500,23,1
510,-51.5000,5,0
511,-42.3000,14,0
512,-45.7000,19,0
513,567.7500,25,1
514,564.6500,35,1
515,570.3500,19,1
516,569.9500,21,1
517,-52.7000,10,0
518,-52.0000,8,0
519,-41.5000,19,0
520,563.3500,51,1
521,-53.2000,9,0
522,-46.4000,34,0
523,566.7500,33,1
524,-43.2000,22,0
525,-52.1000,12,0
526,567.3000,28,1
527,-44.8000,15,0
528,-51.5000,35,0
529,567.6000,30,1
530,570.0000,20,1
531,-51.0000,5,0
532,-41.0000,18,0
533,571.0500,19,1
534,-47.0000,28,0
535,567.4000,24,1
536,570.0000,20,1
537,568.2500,31,1
538,-40.7000,11,0
539,-49.2000,51,0
540,566.6000,20,1
541,567.4000,28,1
542,-44.0000,28,0
543,569.6000,18,1
544,-43.0000,13,0
545,566.3000,36,1
546,-52.5000,17,0
547,570.7000,18,1
548,568.4000,26,1
549,-45.2000,26,0
550,569.3500,21,1
551,-39.8000,25,0
552,-41.6000,12,0
553,-41.4000,18,0
554,568.7000,32,1
555,568.6500,29,1
556,-41.7000,13,0
557,-51.0000,5,0
558,-43.1000,31,0
559,-42.5000,15,0
560,-40.0000,17,0
561,-51.9000,6,0
562,569.1000,18,1
563,568.5000,20,1
564,569.9500,21,1
565,571.3500,17,1
566,567.8000,20,1
567,568.0000,24,1
568,-38.9000,15,0
569,-52.3000,6,0
570,-40.8000,7,0
571,569.7000,16,1
572,-53.4000,16,0
573,-40.0000,8,0
574,-51.9000,6,0
575,-52.3000,6,0
576,-52.3000,6,0
577,568.6000,18,1
578,571.4500,17,1
579,571.7000,18,1
580,-52.7000,15,0
581,-53.1000,10,0
582,-52.2000,11,0
583,-52.4000,7,0
584,-51.0000,5,0
585,569.1000,22,1
586,-52.7000,7,0
587,-41.7000,18,0
588,570.0000,16,1
589,-42.8000,28,0
590,-51.4000,54,0
591,-47.7000,33,0
592,571.8000,14,1
593,-43.1000,23,0
594,-47.4000,35,0
595,565.5000,28,1
596,-43.2000,42,0
597,571.1000,14,1
598,-43.3000,16,0
599,-47.2000,38,0
600,-40.4000,15,0
601,-41.3000,18,0
602,-42.2000,23,0
603,-64.8000,88,0
604,-45.3000,30,0
605,560.6500,53,1
606,569.5000,18,1
607,570.8000,16,1
608,569.8000,20,1
609,569.7000,20,1
610,570.3500,17,1
611,570.7000,16,1
612,570.7000,14,1
613,-42.7000,24,0
614,-52.4000,7,0
615,-41.2000,10,0
616,-42.2000,18,0
617,572.0500,13,1
618,-40.6000,11,0
619,-51.0000,5,0
620,572.0500,13,1
621,568.7500,23,1
622,569.0500,17,1
623,569.9500,17,1
624,570.7000,20,1
625,566.0500,23,1
626,-52.3000,6,0
627,571.1000,14,1
628,569.1000,18,1
629,-53.1000,10,0
630,571.1000,14,1
631,-40.7000,14,0
632,570.8000,16,1
633,-51.5000,5,0
634,570.4500,19,1
635,569.9500,19,1
636,569.7000,14,1
637,566.4000,38,1
638,568.1500,23,1
639,569.9000,18,1
640,568.4000,26,1
641,-38.6000,12,0
642,571.0500,17,1
643,572.1000,12,1
644,570.2500,27,1
645,-41.2000,10,0
646,570.9000,16,1
647,-48.5000,32,0
648,570.4000,24,1
649,-45.6000,34,0
650,-40.8000,17,0
651,568.9500,19,1
652,-52.2000,7,0
653,-41.6000,17,0
654,570.4500,17,1
655,566.7000,30,1
656,568.8500,23,1
657,-51.5000,5,0
658,568.7000,26,1
659,-51.5000,5,0
660,567.3000,28,1
661,571.7500,17,1
662,-51.6000,6,0
663,-54.0000,13,0
664,566.8500,23,1
665,566.8000,32,1
666,571.6500,15,1
667,571.8500,15,1
668,-51.9000,11,0
669,571.3000,18,1
670,570.4000,16,1
671,570.0000,18,1
672,565.1000,24,1
673,-44.5000,33,0
674,-40.1000,11,0
675,572.5000,14,1
676,561.1000,42,1
