episode,reward,length,win
266,-54.8000,10,0
267,-55.9000,16,0
268,-54.2000,9,0
269,-60.2000,16,0
270,-54.5000,13,0
271,-54.3000,12,0
272,-61.8000,15,0
273,-54.5000,10,0
274,-47.5000,17,0
275,-64.2000,24,0
276,-53.5000,7,0
277,-57.5000,10,0
278,-58.2000,24,0
279,-52.6000,10,0
280,-54.0000,10,0
281,-54.5000,12,0
282,-52.7000,8,0
283,-58.6000,15,0
284,-53.6000,10,0
285,-66.4000,21,0
286,-59.6000,18,0
287,-58.0000,14,0
288,-57.8000,20,0
289,-57.9000,12,0
290,-46.1000,19,0
291,-55.8000,9,0
292,-55.9000,30,0
293,-56.8000,13,0
294,-53.3000,8,0
295,-47.5000,10,0
296,-66.5000,21,0
297,-61.6000,20,0
298,-58.3000,12,0
299,-50.7000,18,0
300,-54.8000,12,0
301,-43.3000,16,0
302,-53.2000,8,0
303,-72.1000,20,0
304,-52.8000,8,0
305,-56.3000,13,0
306,-56.1000,14,0
307,-61.4000,16,0
308,-53.3000,7,0
309,-53.6000,9,0
310,-59.3000,13,0
311,-62.1000,16,0
312,-52.9000,7,0
313,-57.6000,11,0
314,-45.1000,14,0
315,-55.6000,9,0
316,-56.2000,12,0
317,-52.7000,7,0
318,-61.5000,20,0
319,-53.9000,8,0
320,-55.1000,18,0
321,-55.5000,11,0
322,-54.6000,15,0
323,-56.0000,13,0
324,-53.9000,7,0
325,-43.6000,17,0
326,-61.6000,13,0
327,-55.1000,9,0
328,-53.3000,8,0
329,-53.2000,9,0
330,-61.6000,19,0
331,-51.3000,21,0
332,-55.9000,13,0
333,-63.2000,14,0
334,-61.8000,14,0
335,-51.1000,14,0
336,-54.5000,12,0
337,-58.9000,18,0
338,-48.1000,10,0
339,-42.7000,14,0
340,-45.7000,11,0
341,-46.3000,18,0
342,-54.1000,7,0
343,-43.9000,15,0
344,-67.9000,19,0
345,-58.2000,12,0
346,-52.7000,7,0
347,-53.7000,11,0
348,-54.3000,14,0
349,-56.1000,15,0
350,-64.4000,17,0
351,-56.4000,16,0
352,-50.8000,22,0
353,-58.3000,16,0
354,-46.7000,13,0
355,-58.6000,13,0
356,-55.2000,11,0
357,-57.5000,13,0
358,-53.7000,8,0
359,-52.5000,20,0
360,-68.5000,20,0
361,-55.2000,13,0
362,-55.3000,11,0
363,-44.0000,9,0
364,-56.5000,17,0
365,-48.0000,19,0
366,-69.1000,21,0
367,-54.4000,8,0
368,-65.5000,18,0
369,-45.1000,10,0
370,-54.0000,8,0
371,-53.1000,9,0
372,-64.9000,24,0
373,-54.9000,17,0
374,-54.2000,9,0
375,-43.3000,14,0
376,-53.7000,9,0
377,-43.7000,9,0
378,-58.8000,15,0
379,-64.3000,17,0
380,-43.8000,11,0
381,-57.9000,17,0
382,-56.8000,15,0
383,-58.7000,12,0
384,-48.8000,12,0
385,-52.6000,9,0
386,-54.8000,9,0
387,-66.1000,33,0
388,-63.6000,15,0
389,-58.0000,21,0
390,-59.5000,14,0
391,-43.2000,9,0
392,-56.5000,11,0
393,-59.3000,16,0
394,-58.3000,14,0
395,-54.7000,15,0
396,-52.2000,8,0
397,-56.0000,10,0
398,-56.9000,9,0
399,-48.2000,13,0
400,-61.7000,13,0
401,-65.3000,15,0
402,-60.9000,15,0
403,-55.4000,9,0
404,-58.1000,20,0
405,-50.3000,11,0
406,-53.8000,9,0
407,-58.9000,12,0
408,-45.0000,8,0
409,-69.1000,20,0
410,-54.2000,11,0
411,-47.2000,21,0
412,-57.4000,16,0
413,-57.7000,12,0
414,-53.8000,6,0
415,-58.0000,13,0
416,-58.3000,13,0
417,-43.9000,13,0
418,-45.2000,13,0
419,-42.2000,10,0
420,-46.2000,9,0
421,-52.0000,14,0
422,-45.0000,12,0
423,-55.3000,17,0
424,-55.1000,16,0
425,-52.8000,8,0
426,-51.9000,9,0
427,-44.8000,8,0
428,-47.5000,10,0
429,-60.6000,16,0
430,-51.7000,12,0
431,-54.7000,11,0
432,-53.4000,8,0
433,-57.9000,12,0
434,-52.2000,8,0
435,-45.8000,9,0
436,-62.3000,18,0
437,-53.8000,8,0
438,-46.2000,9,0
439,-43.5000,10,0
440,-55.6000,17,0
441,-52.4000,15,0
442,-44.6000,10,0
443,-42.3000,7,0
444,-55.9000,13,0
445,-43.0000,10,0
446,-53.4000,10,0
447,-60.2000,19,0
448,-45.7000,10,0
449,-42.6000,7,0
450,-43.8000,13,0
451,-62.9000,18,0
452,-43.4000,7,0
453,-52.9000,7,0
454,-53.9000,7,0
455,-44.5000,15,0
456,-52.7000,8,0
457,-61.8000,16,0
458,-56.1000,11,0
459,-46.7000,24,0
460,-42.5000,9,0
461,-52.9000,7,0
462,-45.4000,19,0
463,-55.3000,13,0
464,-53.7000,15,0
465,-53.5000,7,0
466,-54.7000,12,0
467,-53.7000,12,0
468,-58.8000,19,0
469,-43.0000,10,0
470,-57.2000,15,0
471,-55.2000,14,0
472,-43.2000,20,0
473,-53.5000,10,0
474,-56.4000,15,0
475,-56.2000,10,0
476,-53.4000,7,0
477,-62.4000,31,0
478,-55.2000,13,0
479,-45.0000,8,0
480,-56.3000,10,0
481,-54.7000,17,0
482,-45.1000,11,0
483,-57.1000,10,0
484,-52.9000,13,0
485,-57.1000,13,0
486,-52.8000,7,0
487,-47.7000,10,0
488,-46.2000,17,0
489,-52.9000,7,0
490,-45.0000,8,0
491,-53.4000,10,0
492,-45.8000,13,0
493,-55.8000,11,0
494,-56.0000,19,0
495,-42.0000,6,0
496,-47.7000,17,0
497,-41.0000,8,0
498,-49.8000,12,0
499,-57.0000,16,0
500,-63.5000,17,0
501,-54.1000,9,0
502,-58.6000,15,0
503,-45.2000,14,0
504,-57.3000,9,0
505,-61.4000,17,0
506,-54.4000,12,0
507,-53.9000,18,0
508,-54.3000,8,0
509,-45.3000,9,0
510,-55.4000,10,0
511,-52.1000,20,0
512,-45.4000,11,0
513,-52.7000,10,0
514,-61.0000,13,0
515,-43.6000,9,0
516,-54.9000,12,0
517,-57.1000,13,0
518,-43.1000,8,0
519,-46.1000,26,0
520,-58.0000,13,0
521,-48.2000,12,0
522,-43.4000,9,0
523,-54.2000,16,0
524,-56.5000,9,0
525,-44.6000,18,0
526,-45.9000,14,0
527,-48.0000,10,0
528,-58.1000,19,0
529,-59.4000,13,0
530,-56.5000,13,0
531,-57.3000,15,0
532,-49.1000,11,0
533,-47.1000,11,0
534,-42.1000,10,0
535,-52.8000,7,0
536,-42.1000,9,0
537,-61.4000,15,0
538,-53.8000,8,0
539,-57.7000,13,0
540,-54.0000,8,0
541,-42.3000,7,0
542,-42.7000,11,0
543,-54.5000,10,0
544,-44.6000,9,0
545,-52.6000,6,0
546,-45.0000,8,0
547,-52.8000,8,0
548,-41.9000,9,0
549,-53.3000,9,0
550,-48.5000,15,0
551,-42.0000,6,0
552,-60.7000,19,0
553,-47.1000,11,0
554,-55.6000,13,0
555,-49.3000,9,0
556,-54.2000,10,0
557,-63.1000,19,0
558,-54.1000,12,0
559,-53.4000,11,0
560,-52.9000,7,0
561,-43.9000,13,0
562,-53.6000,14,0
563,-42.0000,6,0
564,-48.1000,18,0
565,-53.6000,20,0
566,-55.7000,18,0
567,-44.7000,12,0
568,-53.3000,9,0
569,-53.2000,8,0
570,-56.6000,18,0
571,-45.2000,12,0
572,-50.5000,11,0
573,-70.8000,40,0
574,-44.1000,11,0
575,-42.9000,8,0
576,-52.6000,10,0
577,-61.0000,16,0
578,-47.7000,10,0
579,-43.1000,11,0
580,-43.5000,10,0
581,-55.2000,9,0
582,-51.7000,25,0
583,-55.7000,11,0
584,-56.3000,30,0
585,-46.2000,12,0
586,-48.1000,18,0
587,-41.0000,8,0
588,-42.9000,8,0
589,-46.2000,9,0
590,-43.4000,7,0
591,-57.5000,11,0
592,-47.7000,9,0
593,-44.8000,12,0
594,-55.4000,9,0
595,-55.6000,17,0
596,-42.9000,9,0
597,-51.7000,32,0
598,-41.8000,9,0
599,-48.4000,13,0
600,-53.9000,12,0
601,-53.2000,7,0
602,-43.1000,7,0
603,-56.9000,14,0
604,-44.6000,9,0
605,-53.6000,7,0
606,-55.0000,11,0
607,-53.7000,8,0
608,-43.7000,12,0
609,-43.8000,9,0
610,-43.3000,11,0
611,-46.3000,22,0
612,-42.0000,6,0
613,-45.0000,8,0
614,-43.4000,7,0
615,-59.7000,22,0
616,-53.6000,7,0
617,-51.8000,27,0
618,-42.7000,12,0
619,-47.8000,12,0
620,-60.9000,26,0
621,-54.0000,9,0
622,-55.8000,13,0
623,-42.4000,15,0
624,-42.0000,6,0
625,-51.2000,13,0
626,-42.7000,8,0
627,-42.0000,6,0
628,-60.9000,12,0
629,-49.3000,12,0
630,-43.2000,10,0
631,-42.0000,6,0
632,-59.9000,17,0
633,-44.4000,10,0
634,-54.9000,10,0
635,-45.9000,12,0
636,-44.5000,9,0
637,-46.5000,10,0
638,-61.2000,17,0
639,-42.0000,6,0
640,-43.8000,9,0
641,-52.6000,6,0
642,-55.7000,11,0
643,-43.1000,13,0
644,-43.3000,11,0
645,-56.5000,10,0
646,-43.1000,14,0
647,-49.3000,13,0
648,-54.8000,22,0
649,-42.0000,6,0
650,-54.2000,12,0
651,-45.4000,10,0
652,-49.0000,14,0
653,-45.4000,9,0
654,-56.2000,11,0
655,-53.9000,7,0
656,-54.5000,12,0
657,-52.6000,6,0
658,-58.8000,19,0
659,-54.7000,7,0
660,-42.0000,6,0
661,-46.1000,9,0
662,-42.0000,6,0
663,-43.4000,8,0
664,-42.3000,7,0
665,-53.3000,7,0
666,-48.5000,14,0
667,-42.3000,7,0
668,-46.9000,8,0
669,-45.5000,8,0
670,-42.3000,7,0
671,-46.0000,15,0
672,-53.1000,9,0
673,-49.9000,21,0
674,-44.7000,8,0
675,-45.9000,16,0
676,-54.6000,10,0
677,-44.9000,10,0
678,-62.8000,11,0
679,-47.1000,20,0
680,-54.9000,19,0
681,-47.2000,24,0
682,-47.8000,9,0
683,-42.0000,6,0
684,-42.0000,6,0
685,-49.8000,11,0
686,-42.7000,8,0
687,-42.3000,7,0
688,-47.8000,11,0
689,-48.6000,20,0
690,-52.6000,14,0
691,-42.2000,10,0
692,-45.0000,11,0
693,-47.8000,9,0
694,-56.2000,13,0
695,-65.2000,17,0
696,-44.4000,11,0
697,-42.3000,7,0
698,-48.4000,23,0
